Ticker,Est EPS,Act EPS,Announcement Date
NOV,0.009,-0.2,20170727
NRG,-0.014,-1.98,20170803
NSC,1.558,1.72,20170726
NTRS,1.309,1.1239,20170719
NWL,0.941,0.46,20170804
NWSA,0.224,-0.74,20170810
O,0.326,0.3,20170726
OKE,0.503,0.34,20170801
OMC,1.539,1.41,20170720
ORCL,0.687,0.78,20170621
ORLY,2.958,3.14,20170726
OXY,0.302,0.66,20170802
PAYX,0.594,0.54,20170628
PBCT,0.249,0.19,20170720
PCAR,0.912,1.06,20170725
PCG,0.887,0.79,20170727
PCLN,15.667,14.66,20170808
PEG,0.538,0.22,20170728
PEP,1.302,1.47,20170711
PFG,1.297,1.07,20170727
PG,1.142,0.8217,20170727
PGR,0.635,0.63,20170718
PH,1.863,2.2,20170803
PHM,0.914,0.32,20170725
PKG,1.542,1.52,20170726
PLD,0.346,0.5,20170718
PM,1.299,1.14,20170720
PNC,2.171,2.12,20170714
PNR,0.919,1.45,20170725
PNW,0.426,1.5,20170803
PPG,1.325,1.95,20170720
PPL,0.483,0.43,20170803
PRU,2.514,1.13,20170802
PSA,2.018,1.59,20170726
PSX,0.964,1.06,20170801
PWR,0.435,0.41,20170803
PX,1.459,1.42,20170727
PXD,0.693,1.36,20170801
PYPL,0.498,0.34,20170726
QCOM,1.003,0.59,20170719
RCL,1.301,1.72,20170801
RE,5.793,5.98,20170724
REG,0.4,0.28,20170803
REGN,3.434,3.66,20170803
RF,0.256,0.25,20170721
RHI,0.665,0.64,20170725
RHT,0.701,0.41,20170620
RJF,1.398,1.27,20170726
RMD,0.794,0.72,20170801
ROK,1.802,1.69,20170726
ROP,2.552,1.76,20170731
RRC,0.226,0.28,20170801
RSG,0.599,0.6,20170727
SBAC,0.254,0.08,20170731
SCG,1.142,0.85,20170803
SCHW,0.438,0.4,20170718
SEE,0.546,0.45,20170808
SHW,2.814,3.44,20170720
SLB,0.501,-0.05,20170721
SLG,0.615,0.08,20170719
SNI,1.389,1.8,20170804
SO,0.45,-1.38,20170802
SPG,1.835,1.23,20170801
SPGI,1.485,1.63,20170727
SRCL,1.216,-1.74,20170803
SRE,1.462,1.03,20170804
